"the_geom","DefNum","InitBy","HouseNum","OFT","OnFaceName","OnPrimName","FrmPrimNam","ToPrimName","SpecLoc","Boro","Source","RptDate","RptClosed","Shape_Leng"
"MULTILINESTRING ((-73.991200 40.694100, -73.990800 40.694000))","DBSAMPLE0001","CSC","145","380030331530342730","SMITH ST","SMITH STREET","ATLANTIC AVENUE","PACIFIC STREET","POTHOLE IN FRONT OF BUILDING","B","CTZ","01/02/2026","01/06/2026","140.25"
"MULTILINESTRING ((-73.985400 40.689200, -73.985000 40.689100))","DBSAMPLE0002","CSC","220","313430345030386330","ATLANTIC AV","ATLANTIC AVENUE","CLINTON STREET","COURT STREET","LARGE POTHOLE BY CROSSWALK","B","CTZ","01/03/2026","01/25/2026","165.80"
"MULTILINESTRING ((-73.944900 40.678500, -73.944500 40.678400))","DBSAMPLE0003","YRD","1462","313430323330379830","ATLANTIC AV","ATLANTIC AVENUE","BROOKLYN AVENUE","ST ANDREWS PLACE","POTHOLE NEAR BUS STOP","B","YRD","01/05/2026","01/10/2026","210.10"
"MULTILINESTRING ((-73.952600 40.661900, -73.952100 40.661800))","DBSAMPLE0004","CSC","735","338330312130386030","E NEW YORK AV","EAST NEW YORK AVENUE","ALBANY AVENUE","TROY AVENUE","DEEP POTHOLE MIDBLOCK","B","CTZ","01/07/2026","01/30/2026","320.45"
"MULTILINESTRING ((-73.987700 40.640800, -73.987200 40.640700))","DBSAMPLE0005","CSC","8816","307730315780347730","26 AV","26 AVENUE","BATH AVENUE","HARWAY AVENUE","POTHOLE AT DRIVEWAY APRON","B","CTZ","01/08/2026","01/20/2026","285.70"
"MULTILINESTRING ((-73.958900 40.712700, -73.958400 40.712500))","DBSAMPLE0006","CSC","44","373650378130378230","ROEBLING ST","ROEBLING STREET","SOUTH 1 STREET","SOUTH 2 STREET","MULTIPLE POTHOLES IN TRAVEL LANE","B","CTZ","01/10/2026","02/01/2026","250.95"
"MULTILINESTRING ((-73.974400 40.631000, -73.973800 40.630900))","DBSAMPLE0007","YRD","514","313830335030367730","AV C","AVENUE C","EAST 5 STREET","OCEAN PARKWAY","EDGE OF CURB LANE","B","YRD","01/12/2026","01/16/2026","198.35"
"MULTILINESTRING ((-73.908000 40.695500, -73.907300 40.696200))","DBSAMPLE0008","CSC","1402","347030352130394730","HANCOCK ST","HANCOCK STREET","IRVING AVENUE","WYCKOFF AVENUE","TWO ADJACENT POTHOLES","B","CTZ","01/14/2026","02/05/2026","410.60"
"MULTILINESTRING ((-74.035500 40.619900, -74.035100 40.619300))","DBSAMPLE0009","CSC","9221","373330311180311230","RIDGE BL","RIDGE BOULEVARD","92 STREET","93 STREET","POTHOLE CLOSER TO CORNER","B","CTZ","01/15/2026","01/19/2026","230.40"
"MULTILINESTRING ((-73.939900 40.602900, -73.939500 40.601900))","DBSAMPLE0010","CSC","355","323480314580314630","BROWN ST","BROWN STREET","AVENUE T","AVENUE U","ROUGH SURFACE AND POTHOLE","B","CTZ","01/18/2026","02/10/2026","360.15"
